@relation markSix

@attribute A1 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}			
@attribute A2 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	
@attribute A3 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	
@attribute A4 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	
@attribute A5 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	
@attribute A6 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	
@attribute A7 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	

@data
6,11,18,24,27,29,7
5,8,14,25,31,32,18
8,12,24,26,29,42,6
8,22,24,26,37,43,6
8,11,13,40,42,44,36
1,2,5,19,26,40,24
7,14,30,35,41,42,20
3,12,24,33,40,46,1
9,18,20,24,37,39,35
7,17,29,35,36,47,44
14,16,24,25,27,33,47
3,5,24,37,38,45,6
14,19,24,30,36,45,23
9,13,22,34,36,43,35
5,8,12,16,40,47,22
4,7,14,20,30,47,9
3,17,21,23,34,37,1
21,25,36,42,43,45,47
9,13,17,18,22,41,26
19,22,27,28,29,46,21
9,13,14,16,17,30,39
4,11,22,29,30,45,25
1,13,20,26,31,45,40
13,19,25,34,35,45,24
3,4,11,22,27,43,37
1,25,26,33,43,44,18
4,8,11,32,33,35,3
9,15,31,32,41,47,14
5,10,22,35,37,39,25
1,10,12,23,33,42,39
2,19,23,26,27,46,30
12,19,25,27,32,34,1
29,30,32,35,37,44,21
11,15,24,25,26,32,30
1,6,28,30,31,33,22
2,8,9,15,17,37,28
3,11,17,25,28,43,26
6,7,12,44,45,46,23
5,11,15,18,36,37,39
1,15,22,28,34,46,14
2,17,19,34,45,47,12
2,14,15,24,34,43,25
19,25,30,36,37,40,14
5,22,24,26,29,47,1
20,22,23,41,43,46,8
1,16,17,20,22,40,34
4,13,17,23,33,41,9
11,22,23,30,42,45,39
5,24,26,29,32,38,19
11,12,20,27,42,45,25
1,22,23,34,42,47,39
3,7,30,35,38,47,39
7,13,25,28,32,46,17
2,6,16,22,24,31,32
